𐁂	AU
𐂊	SAU
𐂋	ESAU

𐀀	a
𐀁	e
𐀂	i
𐀃	o
𐀄	u	
𐁁	ai
𐁁𐀒	aiko
𐁂	au
𐀊	ia


𐁀	A2
𐁁	A3
𐁂	AU
𐁃	DWE
𐁄	DWO
𐁅	NWA
𐁇	PTE
𐁆	PU2
𐁈	RA2
𐁉	RA3
𐁊	RO2
𐁋	TA2
𐁌	TWE
𐁍	TWO



𐁐	*18
𐁑	*19
𐁒	*22
𐁓	*34
𐁓'	*35
𐁔	*47
𐁕	*49
𐁖	*56
𐁖	PA3
𐁗	*63
𐁘	SWI
𐁘	*64
𐀎	JU
𐀎	*65
𐁙	ZU
𐁙	*79
𐁚	SWA
𐁚	*82
𐁛	*83
𐁜	*86
𐁝	*89


𐂀	*100
𐂀	MAN
𐂀	VIR
𐂁	*102
𐂁	MUL
𐂁	WOMAN
𐂂	*104
𐂂	DEER
𐂃	EQUID
𐂃	HORSE
𐂃	*105
𐂄	*105f
𐂄	MARE
𐂅	*105m
𐂅	STALLION

𐀥	QI	
𐀥	*21
𐀥	WE	
𐀥	WEKATA
𐀥	OVIS
𐀥	SHEEP
𐂆	*75
𐂆	EVE
𐂇	GOAT
𐂇	RAM
𐁒	RA	
𐁒	*22
𐂈	*107
𐂈	SHE-GOAT
𐂈		CAP
𐂈		CAPRICORN
𐂉		CAPm
𐁂	AU	
𐁂	*85
𐂊	SAU
𐂋	*108
𐂋	BOAR
𐀘		MU
𐀘	*23
𐂌		BOS
𐂌		BO
𐂍		BA

d
𐀅	da
𐀆	de
𐀇	di
𐀈	do
𐀉	du
𐀂	hi
𐀂	i
𐀂	y
𐀋	hie
𐀋	ie
𐀋	ia
𐀁	he

j
𐀊	ia
𐀊	ja
𐀊	aj
𐀊	ai
𐀋	je
𐀍	jo
𐀍	as
𐀍	os

𐀏	ka
𐀐	ke
𐀑	ki
𐀒	ko
𐀓	ku

𐀔	ma
𐀕	me
𐀖	mi
𐀗	mo
𐀘	mu
𐀪	ri
𐀪	rin
𐀪	ren
𐀪	min
𐀪	men

𐀙	na
𐀚	ne
𐀚	nau
𐀛	ni	
𐀛	nix
𐀛	nü
𐀜	no
𐀝	nu
𐀝	ny
𐀝	*55

𐀃	o
𐀃	pho
𐀣	pa2
𐀞	pa
𐀞	pl
𐀞	πy
𐀟	pe
𐀠	pi
𐀠	pile
𐀠	pt
𐀡	po
𐀡	pho
𐀡	who
𐀢	pu
𐁇	PTe
𐀷	PA
𐀷	PO

𐀣	pa2
𐀣	qa
𐀣	qu
𐀣	qua
𐀒	ko
𐀒	CePhal
𐀤	qe
𐀤	pe4
𐀥	qi
𐀦	qo
𐀦	po?

𐀨	ra
𐀩	re
𐀪	ri
𐀫	ro
𐀬	ru	
𐁉	rai
𐀨	ra
𐀨	la
𐀩	le
𐀪	li
𐀫	lo
𐀬	lu	
𐁉	lai

𐀭	sa
𐀮	se
𐀯	si
𐀯	sei
𐀰	so
𐀱	su

𐀲		ta
𐀳		te
𐀴		ti
𐀴		tei
𐀯		si
𐀯		sei
𐀯		thai
𐀵	to
𐀵	th
𐀶	tu
𐀶?	tao

𐀷	wa
𐀷	pa3
𐀸	we
𐀸	ws
𐀸	us
𐀹	wi
𐀹𐀍	wijo
𐀹	lvi
𐀺	wo
𐀺	Vꜣ	
𐀺	Vo
𐀺	πo	
𐀺	VΣ
𐀺	VS
𐀺	us

𐀼	za
𐀼	sankh
𐀽	ze
𐀿	zo

𐁌	twe

𐁀	ha
𐁀	*25
𐁁	ai
𐁁	*43
𐁂	au
𐁂	*85
𐁃	dwe
𐁃	*71
𐁄	dwo
𐁄	*90
𐁅	nwa
𐁅	*48	
𐁇	pte
𐁇	*62
𐁆	phu
𐁆	*29	
𐁈	rya
𐁈	*76
𐁉	rai
𐁉	*33	
𐁊	ryo
𐁊	*68
𐁋	tya
𐁋	*66
𐁌	twe
𐁌	*87
𐁍	two
𐁍	*91

Units	of	Measurement
𐂎	*120
𐂎	GRA
𐂎	GRAIN
𐂏	*121
𐂏	HORD
𐂏	HORDE
𐂏	BARLEY
𐂐	*122
𐂐	OLIV
𐂐	OLIVE
𐀛	*30
𐀛	FIGS
𐀛	FICUS
𐀎	*65
𐀎	FARINA
𐀎	FLOUR
𐂑	*123
𐂑	AROM
𐂑	AROMA
Coriander	*70
𐀭	SA
𐀭	*31
𐀭	Sesame
Cumin	*81	
Celery	*9
Fennel	*80
cyperus	*124
𐂒PYC	*125
𐂒cyperus	*125
𐂒CYP	*126
𐂒KU	*126
𐂓	KAPO
𐂓	FRUIT
𐂓	*127
𐂔	KANAKO
𐂔	safflower
𐂔	*128

𐂕	OLE
𐂕	*130
𐂕	OIL
𐂖	VIN
𐂖	*131
𐂖	wine
𐂘	unguent
𐂘	*133
𐂙	honey
𐂙	*135

𐃣	Ta
𐃤	CAN
𐃥	HYD
𐃥	HYDRIA
𐃥	Water
𐃠	TRI
𐃠	TRIPOD
𐃟	*200	
𐃟	PAN
𐃠	*201	TRI
𐃠		TRIPOD
𐃠		CAULDRON
𐃡	*202	
𐃡	pōculum
𐃡	GOBLET
𐃢	*203	
𐃢	urceus
𐃢	WINE	JAR
𐃣	*204	Ta	
𐃣	hirnea	
𐃣	EWER
𐃤	*205
𐃤	hirnula
𐃤	JUG
𐃥	*206
𐃦	*207
𐃦	TRIPOD	
𐃧	*208
𐃧	PAT
𐃧	patera
𐃧	petra
𐃧	BOWL
𐃨	*209
𐃨	AMPH
𐃨	AMPHORA
𐃩	*210	
𐃩	STIRRIP
𐃪	*211
𐃪	WATER	BOWL
𐃫	*212	
𐃫	SIT
𐃫	situla
𐃬	*213	
𐃬	LANX
𐃬	ALL
𐃬	COOKING	BOWL
𐃄	*220
𐃄	scamnum
𐃄	FOOTSTOOL
𐃅	*225
𐃅	ALV
𐃅	alveus	
𐃅	Weapons
𐃆	*230	
𐃆	HAS
𐃆	hasta
𐃆	SPEAR
𐃇	*231	
𐃇	SAG
𐃇	SAX
𐃇	SACH
𐃇	sagitta
𐃇		ARROW
𐃈	*232	
𐃈	AXE
𐃉	*233
𐃉	DAGGER
𐃊	*234	
𐃊	GLA
𐃊	gladius
𐃊	SWORD

𐃌	*240	Sc	BIG
𐃌	biga
𐃌	WHEELED	CHARIOT
𐃌	CHARIOT
𐃍	*241	
𐃍	CUR
𐃍	currus
𐃍	WHEEL-LESS	CHARIOT
𐃎	*242
𐃎	CAPS
𐃎	capsus
𐃎	CHARIOT	FRAME
𐃏	*243	
𐃏	ROTA
𐃏	WHEEL
